G,W,SO,PCT,ERA,predictions,playerID
231,103,906,0.5819209039548022,3.787872385379252,0,buehrma01
183,85,1130,0.5944055944055944,3.035866780529462,0,bumgama01
159,74,1010,0.6115702479338843,3.370420624151968,0,colege01
194,85,995,0.5985915492957746,3.2697931034482766,0,cuetojo01
139,57,1070,0.5588235294117647,3.487199082919373,0,darviyu01
235,75,1127,0.5067567567567568,3.8167539267015713,0,greinza01
165,67,702,0.6320754716981132,3.8874829001367988,0,hallaro01
212,91,1307,0.6026490066225165,3.3406779661016945,0,hamelco01
196,79,1035,0.5602836879432624,3.6097826086956517,0,harenda01
205,85,1264,0.5592105263157895,3.2412965186074434,0,hernafe02
212,106,1014,0.6883116883116883,3.329455560725919,0,hudsoti01
211,98,1445,0.6666666666666666,2.4812575574365177,1,kershcl01
198,96,1418,0.6357615894039735,3.069910371318822,0,klubeco01
212,79,986,0.5,3.44579226686884,0,kurodhi01
207,91,1062,0.5909090909090909,3.811524911927529,0,lackejo01
160,76,719,0.6608695652173913,4.1502590673575135,0,leecl02
188,85,1060,0.6390977443609023,3.760963026655202,0,lestejo01
221,89,1510,0.5597484276729561,3.4618654073199524,0,linceti01
221,94,810,0.573170731707317,4.0,0,lowede01
221,112,1170,0.6746987951807228,3.0693396226415097,0,oswalro01
228,115,998,0.6388888888888888,3.9919521729133134,0,pettian01
213,104,1360,0.65,3.101564324071912,0,priceda01
218,70,1146,0.5072463768115942,3.595890410958904,0,quintjo01
19,5,51,0.625,5.507462686567163,0,riverma01
219,100,1142,0.6134969325153374,3.826973216401991,0,sabatcc01
208,99,1678,0.6265822784810127,2.911383285302594,1,salech01
221,91,1317,0.6893939393939394,2.9885496183206106,0,santajo01
207,91,1321,0.6453900709219859,3.5801506186121563,0,scherma01
190,73,1048,0.4965986394557823,3.827866630523177,0,sheetbe01
224,78,1226,0.5,4.262494161606727,0,vazquja01
199,107,1215,0.6524390243902439,3.5375063355296503,0,verlaju01
217,117,1234,0.6428571428571429,2.9863450159308145,1,wainwad01
207,102,1119,0.6623376623376623,3.2378187326432717,0,weaveje02
225,95,1168,0.6168831168831169,3.4118360417171965,0,zambrca01
